service_id,resource,old_limit,new_limit,verdict,source_url,evidence_snippet,checked_at
auth0,Monthly active users,"25,000","25,000",unchanged,https://auth0.com/pricing,"Up to 25,000 monthly active users",2026-08-15
auth0,Social connections,Unlimited,Unlimited,unchanged,https://auth0.com/pricing,Unlimited Social Connections**,2026-08-15
auth0,Enterprise connections,1,1,unchanged,https://auth0.com/pricing,1 Enterprise Connection,2026-08-15
auth0,Organizations,5,5,unchanged,https://auth0.com/pricing,5 Organizations,2026-08-15
auth0,credit_card_required,False,False,unchanged,https://auth0.com/pricing,No credit card needed / *credit card verification required for custom domains.,2026-08-15
braintrust,Scores,"10,000/month","10,000/month",unchanged,https://www.braintrust.dev/pricing,"10k scores / 10K / month included then $2.50 per 1,000",2026-08-15
braintrust,Processed data,1 GB/month,1 GB/month,unchanged,https://www.braintrust.dev/pricing,1 GB processed data / 1 GB / month included then +$4/GB,2026-08-15
braintrust,Retention,14-day,14-day,unchanged,https://www.braintrust.dev/pricing,14-day retention,2026-08-15
braintrust,Seats,Unlimited users,Unlimited users,unchanged,https://www.braintrust.dev/pricing,"Unlimited users, projects, datasets, playgrounds, and experiments",2026-08-15
braintrust,Credits,$10 included,$10 included,unchanged,https://www.braintrust.dev/pricing,$10 credits / month included then token rates (Starter $0/month),2026-08-15
braintrust,credit_card_required,False,False,unchanged,https://www.braintrust.dev/pricing,"No credit card required. Free usage is included for traces, evals, and your whole team.",2026-08-15
cerebras,Requests,5/min,5/min,unchanged,https://inference-docs.cerebras.ai/support/rate-limits,Free Trial | Model RPM TPM TPH TPD | gpt-oss-120b 5 30K 1M 1M,2026-08-15
cerebras,Tokens,"30,000/min","30,000/min",unchanged,https://inference-docs.cerebras.ai/support/rate-limits,gpt-oss-120b 5 30K 1M 1M (TPM=30K),2026-08-15
cerebras,Tokens (daily),"1,000,000/day","1,000,000/day",unchanged,https://inference-docs.cerebras.ai/support/rate-limits,gpt-oss-120b 5 30K 1M 1M (TPD=1M; TPH also 1M),2026-08-15
cerebras,Models,All Cerebras-powered models,All Cerebras-powered models,unchanged,https://inference-docs.cerebras.ai/support/rate-limits,Free Trial: Get started with $5 in free credits after making an account / Access to all Cerebras powered models,2026-08-15
cerebras,Trial credits,(new row),"$5 one-time, expires 30 days after grant",changed,https://inference-docs.cerebras.ai/support/rate-limits,"$5 in credits that expire 30 days after they're granted. Once your credits are used up or expire, you need to purchas...",2026-08-15
cerebras,credit_card_required,None,True,changed,https://inference-docs.cerebras.ai/support/rate-limits,New accounts receive $5 in free credits after adding a verified payment method... If you skip adding a payment method at,2026-08-15
clerk,Monthly retained users,"50,000/month","50,000/month",unchanged,https://clerk.com/pricing,"Free for your first 50,000 monthly retained users and 100 monthly retained orgs",2026-08-15
clerk,Monthly retained orgs,100,100,unchanged,https://clerk.com/pricing,"Once you exceed 100 monthly retained organizations, you will be required to upgrade to the B2B Authentication add-on",2026-08-15
